ym,品目分類,市区町村コード,市,項目,value
201901,米,36201,徳島市,支出金額_複数単位,1138
201901,米,36201,徳島市,購入頻度_100世帯当たり,53
201901,米,37201,高松市,支出金額_複数単位,609
201901,米,37201,高松市,購入頻度_100世帯当たり,30
201901,米,38201,松山市,支出金額_複数単位,1659
201901,米,38201,松山市,購入頻度_100世帯当たり,51
201901,米,39201,高知市,支出金額_複数単位,1081
201901,米,39201,高知市,購入頻度_100世帯当たり,50
201902,米,36201,徳島市,支出金額_複数単位,1400
201902,米,36201,徳島市,購入頻度_100世帯当たり,61
201902,米,37201,高松市,支出金額_複数単位,1147
201902,米,37201,高松市,購入頻度_100世帯当たり,45
201902,米,38201,松山市,支出金額_複数単位,1099
201902,米,38201,松山市,購入頻度_100世帯当たり,51
201902,米,39201,高知市,支出金額_複数単位,1996
201902,米,39201,高知市,購入頻度_100世帯当たり,72
201903,米,36201,徳島市,支出金額_複数単位,1197
201903,米,36201,徳島市,購入頻度_100世帯当たり,56
201903,米,37201,高松市,支出金額_複数単位,1153
201903,米,37201,高松市,購入頻度_100世帯当たり,49
201903,米,38201,松山市,支出金額_複数単位,1320
201903,米,38201,松山市,購入頻度_100世帯当たり,58
201903,米,39201,高知市,支出金額_複数単位,1644
201903,米,39201,高知市,購入頻度_100世帯当たり,62
201904,米,36201,徳島市,支出金額_複数単位,1563
201904,米,36201,徳島市,購入頻度_100世帯当たり,71
201904,米,37201,高松市,支出金額_複数単位,915
201904,米,37201,高松市,購入頻度_100世帯当たり,46
201904,米,38201,松山市,支出金額_複数単位,1056
201904,米,38201,松山市,購入頻度_100世帯当たり,52
201904,米,39201,高知市,支出金額_複数単位,1782
201904,米,39201,高知市,購入頻度_100世帯当たり,69
201905,米,36201,徳島市,支出金額_複数単位,1597
201905,米,36201,徳島市,購入頻度_100世帯当たり,68
201905,米,37201,高松市,支出金額_複数単位,1152
201905,米,37201,高松市,購入頻度_100世帯当たり,50
201905,米,38201,松山市,支出金額_複数単位,1325
201905,米,38201,松山市,購入頻度_100世帯当たり,64
201905,米,39201,高知市,支出金額_複数単位,1784
201905,米,39201,高知市,購入頻度_100世帯当たり,75
201906,米,36201,徳島市,支出金額_複数単位,1463
201906,米,36201,徳島市,購入頻度_100世帯当たり,58
201906,米,37201,高松市,支出金額_複数単位,1233
201906,米,37201,高松市,購入頻度_100世帯当たり,54
201906,米,38201,松山市,支出金額_複数単位,978
201906,米,38201,松山市,購入頻度_100世帯当たり,48
201906,米,39201,高知市,支出金額_複数単位,1578
201906,米,39201,高知市,購入頻度_100世帯当たり,69
201907,米,36201,徳島市,支出金額_複数単位,1663
201907,米,36201,徳島市,購入頻度_100世帯当たり,76
201907,米,37201,高松市,支出金額_複数単位,1453
201907,米,37201,高松市,購入頻度_100世帯当たり,65
201907,米,38201,松山市,支出金額_複数単位,1435
201907,米,38201,松山市,購入頻度_100世帯当たり,65
201907,米,39201,高知市,支出金額_複数単位,1831
201907,米,39201,高知市,購入頻度_100世帯当たり,71
201908,米,36201,徳島市,支出金額_複数単位,1383
201908,米,36201,徳島市,購入頻度_100世帯当たり,67
201908,米,37201,高松市,支出金額_複数単位,1928
201908,米,37201,高松市,購入頻度_100世帯当たり,58
201908,米,38201,松山市,支出金額_複数単位,736
201908,米,38201,松山市,購入頻度_100世帯当たり,38
201908,米,39201,高知市,支出金額_複数単位,1525
201908,米,39201,高知市,購入頻度_100世帯当たり,66
201909,米,36201,徳島市,支出金額_複数単位,3748
201909,米,36201,徳島市,購入頻度_100世帯当たり,68
201909,米,37201,高松市,支出金額_複数単位,1450
201909,米,37201,高松市,購入頻度_100世帯当たり,57
201909,米,38201,松山市,支出金額_複数単位,3945
201909,米,38201,松山市,購入頻度_100世帯当たり,69
201909,米,39201,高知市,支出金額_複数単位,2102
201909,米,39201,高知市,購入頻度_100世帯当たり,65
201910,米,36201,徳島市,支出金額_複数単位,2058
201910,米,36201,徳島市,購入頻度_100世帯当たり,44
201910,米,37201,高松市,支出金額_複数単位,2654
201910,米,37201,高松市,購入頻度_100世帯当たり,59
201910,米,38201,松山市,支出金額_複数単位,2818
201910,米,38201,松山市,購入頻度_100世帯当たり,53
201910,米,39201,高知市,支出金額_複数単位,1626
201910,米,39201,高知市,購入頻度_100世帯当たり,77
201911,米,36201,徳島市,支出金額_複数単位,990
201911,米,36201,徳島市,購入頻度_100世帯当たり,42
201911,米,37201,高松市,支出金額_複数単位,2125
201911,米,37201,高松市,購入頻度_100世帯当たり,48
201911,米,38201,松山市,支出金額_複数単位,1848
201911,米,38201,松山市,購入頻度_100世帯当たり,55
201911,米,39201,高知市,支出金額_複数単位,2253
201911,米,39201,高知市,購入頻度_100世帯当たり,58
201912,米,36201,徳島市,支出金額_複数単位,1478
201912,米,36201,徳島市,購入頻度_100世帯当たり,62
201912,米,37201,高松市,支出金額_複数単位,1549
201912,米,37201,高松市,購入頻度_100世帯当たり,59
201912,米,38201,松山市,支出金額_複数単位,2162
201912,米,38201,松山市,購入頻度_100世帯当たり,64
201912,米,39201,高知市,支出金額_複数単位,1712
201912,米,39201,高知市,購入頻度_100世帯当たり,69
202001,米,36201,徳島市,支出金額_複数単位,1228
202001,米,36201,徳島市,購入頻度_100世帯当たり,48
202001,米,37201,高松市,支出金額_複数単位,813
202001,米,37201,高松市,購入頻度_100世帯当たり,34
202001,米,38201,松山市,支出金額_複数単位,1552
202001,米,38201,松山市,購入頻度_100世帯当たり,52
202001,米,39201,高知市,支出金額_複数単位,1548
202001,米,39201,高知市,購入頻度_100世帯当たり,62
202002,米,36201,徳島市,支出金額_複数単位,1327
202002,米,36201,徳島市,購入頻度_100世帯当たり,61
202002,米,37201,高松市,支出金額_複数単位,1170
202002,米,37201,高松市,購入頻度_100世帯当たり,45
202002,米,38201,松山市,支出金額_複数単位,1184
202002,米,38201,松山市,購入頻度_100世帯当たり,46
202002,米,39201,高知市,支出金額_複数単位,1887
202002,米,39201,高知市,購入頻度_100世帯当たり,71
202003,米,36201,徳島市,支出金額_複数単位,1837
202003,米,36201,徳島市,購入頻度_100世帯当たり,76
202003,米,37201,高松市,支出金額_複数単位,1150
202003,米,37201,高松市,購入頻度_100世帯当たり,54
202003,米,38201,松山市,支出金額_複数単位,1553
202003,米,38201,松山市,購入頻度_100世帯当たり,68
202003,米,39201,高知市,支出金額_複数単位,2722
202003,米,39201,高知市,購入頻度_100世帯当たり,88
202004,米,36201,徳島市,支出金額_複数単位,1666
202004,米,36201,徳島市,購入頻度_100世帯当たり,69
202004,米,37201,高松市,支出金額_複数単位,970
202004,米,37201,高松市,購入頻度_100世帯当たり,43
202004,米,38201,松山市,支出金額_複数単位,1884
202004,米,38201,松山市,購入頻度_100世帯当たり,69
202004,米,39201,高知市,支出金額_複数単位,2553
202004,米,39201,高知市,購入頻度_100世帯当たり,87
202005,米,36201,徳島市,支出金額_複数単位,1432
202005,米,36201,徳島市,購入頻度_100世帯当たり,53
202005,米,37201,高松市,支出金額_複数単位,1377
202005,米,37201,高松市,購入頻度_100世帯当たり,55
202005,米,38201,松山市,支出金額_複数単位,1492
202005,米,38201,松山市,購入頻度_100世帯当たり,60
202005,米,39201,高知市,支出金額_複数単位,1894
202005,米,39201,高知市,購入頻度_100世帯当たり,85
202006,米,36201,徳島市,支出金額_複数単位,1644
202006,米,36201,徳島市,購入頻度_100世帯当たり,62
202006,米,37201,高松市,支出金額_複数単位,1285
202006,米,37201,高松市,購入頻度_100世帯当たり,52
202006,米,38201,松山市,支出金額_複数単位,1300
202006,米,38201,松山市,購入頻度_100世帯当たり,57
202006,米,39201,高知市,支出金額_複数単位,2250
202006,米,39201,高知市,購入頻度_100世帯当たり,79
202007,米,36201,徳島市,支出金額_複数単位,1619
202007,米,36201,徳島市,購入頻度_100世帯当たり,63
202007,米,37201,高松市,支出金額_複数単位,1167
202007,米,37201,高松市,購入頻度_100世帯当たり,51
202007,米,38201,松山市,支出金額_複数単位,1223
202007,米,38201,松山市,購入頻度_100世帯当たり,54
202007,米,39201,高知市,支出金額_複数単位,1630
202007,米,39201,高知市,購入頻度_100世帯当たり,69
202008,米,36201,徳島市,支出金額_複数単位,3458
202008,米,36201,徳島市,購入頻度_100世帯当たり,59
202008,米,37201,高松市,支出金額_複数単位,2771
202008,米,37201,高松市,購入頻度_100世帯当たり,48
202008,米,38201,松山市,支出金額_複数単位,1118
202008,米,38201,松山市,購入頻度_100世帯当たり,60
202008,米,39201,高知市,支出金額_複数単位,2536
202008,米,39201,高知市,購入頻度_100世帯当たり,82
202009,米,36201,徳島市,支出金額_複数単位,2944
202009,米,36201,徳島市,購入頻度_100世帯当たり,48
202009,米,37201,高松市,支出金額_複数単位,2727
202009,米,37201,高松市,購入頻度_100世帯当たり,57
202009,米,38201,松山市,支出金額_複数単位,1152
202009,米,38201,松山市,購入頻度_100世帯当たり,63
202009,米,39201,高知市,支出金額_複数単位,1867
202009,米,39201,高知市,購入頻度_100世帯当たり,61
202010,米,36201,徳島市,支出金額_複数単位,1234
202010,米,36201,徳島市,購入頻度_100世帯当たり,41
202010,米,37201,高松市,支出金額_複数単位,1984
202010,米,37201,高松市,購入頻度_100世帯当たり,38
202010,米,38201,松山市,支出金額_複数単位,2156
202010,米,38201,松山市,購入頻度_100世帯当たり,47
202010,米,39201,高知市,支出金額_複数単位,1888
202010,米,39201,高知市,購入頻度_100世帯当たり,73
202011,米,36201,徳島市,支出金額_複数単位,1318
202011,米,36201,徳島市,購入頻度_100世帯当たり,42
202011,米,37201,高松市,支出金額_複数単位,850
202011,米,37201,高松市,購入頻度_100世帯当たり,20
202011,米,38201,松山市,支出金額_複数単位,1516
202011,米,38201,松山市,購入頻度_100世帯当たり,62
202011,米,39201,高知市,支出金額_複数単位,1527
202011,米,39201,高知市,購入頻度_100世帯当たり,61
202012,米,36201,徳島市,支出金額_複数単位,1635
202012,米,36201,徳島市,購入頻度_100世帯当たり,65
202012,米,37201,高松市,支出金額_複数単位,888
202012,米,37201,高松市,購入頻度_100世帯当たり,39
202012,米,38201,松山市,支出金額_複数単位,1902
202012,米,38201,松山市,購入頻度_100世帯当たり,76
202012,米,39201,高知市,支出金額_複数単位,2040
202012,米,39201,高知市,購入頻度_100世帯当たり,76
202101,米,36201,徳島市,支出金額_複数単位,1478
202101,米,36201,徳島市,購入頻度_100世帯当たり,52
202101,米,37201,高松市,支出金額_複数単位,752
202101,米,37201,高松市,購入頻度_100世帯当たり,27
202101,米,38201,松山市,支出金額_複数単位,1062
202101,米,38201,松山市,購入頻度_100世帯当たり,57
202101,米,39201,高知市,支出金額_複数単位,2270
202101,米,39201,高知市,購入頻度_100世帯当たり,87
202102,米,36201,徳島市,支出金額_複数単位,943
202102,米,36201,徳島市,購入頻度_100世帯当たり,43
202102,米,37201,高松市,支出金額_複数単位,748
202102,米,37201,高松市,購入頻度_100世帯当たり,35
202102,米,38201,松山市,支出金額_複数単位,1082
202102,米,38201,松山市,購入頻度_100世帯当たり,47
202102,米,39201,高知市,支出金額_複数単位,1874
202102,米,39201,高知市,購入頻度_100世帯当たり,75
202103,米,36201,徳島市,支出金額_複数単位,1325
202103,米,36201,徳島市,購入頻度_100世帯当たり,56
202103,米,37201,高松市,支出金額_複数単位,740
202103,米,37201,高松市,購入頻度_100世帯当たり,34
202103,米,38201,松山市,支出金額_複数単位,1530
202103,米,38201,松山市,購入頻度_100世帯当たり,56
202103,米,39201,高知市,支出金額_複数単位,1870
202103,米,39201,高知市,購入頻度_100世帯当たり,76
202104,米,36201,徳島市,支出金額_複数単位,1769
202104,米,36201,徳島市,購入頻度_100世帯当たり,70
202104,米,37201,高松市,支出金額_複数単位,1288
202104,米,37201,高松市,購入頻度_100世帯当たり,47
202104,米,38201,松山市,支出金額_複数単位,1435
202104,米,38201,松山市,購入頻度_100世帯当たり,60
202104,米,39201,高知市,支出金額_複数単位,1565
202104,米,39201,高知市,購入頻度_100世帯当たり,72
202105,米,36201,徳島市,支出金額_複数単位,1189
202105,米,36201,徳島市,購入頻度_100世帯当たり,55
202105,米,37201,高松市,支出金額_複数単位,942
202105,米,37201,高松市,購入頻度_100世帯当たり,44
202105,米,38201,松山市,支出金額_複数単位,1588
202105,米,38201,松山市,購入頻度_100世帯当たり,63
202105,米,39201,高知市,支出金額_複数単位,1739
202105,米,39201,高知市,購入頻度_100世帯当たり,73
202106,米,36201,徳島市,支出金額_複数単位,1797
202106,米,36201,徳島市,購入頻度_100世帯当たり,64
202106,米,37201,高松市,支出金額_複数単位,1225
202106,米,37201,高松市,購入頻度_100世帯当たり,52
202106,米,38201,松山市,支出金額_複数単位,1667
202106,米,38201,松山市,購入頻度_100世帯当たり,54
202106,米,39201,高知市,支出金額_複数単位,1881
202106,米,39201,高知市,購入頻度_100世帯当たり,76
202107,米,36201,徳島市,支出金額_複数単位,993
202107,米,36201,徳島市,購入頻度_100世帯当たり,45
202107,米,37201,高松市,支出金額_複数単位,1155
202107,米,37201,高松市,購入頻度_100世帯当たり,58
202107,米,38201,松山市,支出金額_複数単位,1693
202107,米,38201,松山市,購入頻度_100世帯当たり,70
202107,米,39201,高知市,支出金額_複数単位,1327
202107,米,39201,高知市,購入頻度_100世帯当たり,63
202108,米,36201,徳島市,支出金額_複数単位,2653
202108,米,36201,徳島市,購入頻度_100世帯当たり,56
202108,米,37201,高松市,支出金額_複数単位,1162
202108,米,37201,高松市,購入頻度_100世帯当たり,46
202108,米,38201,松山市,支出金額_複数単位,1331
202108,米,38201,松山市,購入頻度_100世帯当たり,62
202108,米,39201,高知市,支出金額_複数単位,2320
202108,米,39201,高知市,購入頻度_100世帯当たり,79
202109,米,36201,徳島市,支出金額_複数単位,2320
202109,米,36201,徳島市,購入頻度_100世帯当たり,43
202109,米,37201,高松市,支出金額_複数単位,3528
202109,米,37201,高松市,購入頻度_100世帯当たり,67
202109,米,38201,松山市,支出金額_複数単位,2416
202109,米,38201,松山市,購入頻度_100世帯当たり,72
202109,米,39201,高知市,支出金額_複数単位,1678
202109,米,39201,高知市,購入頻度_100世帯当たり,67
202110,米,36201,徳島市,支出金額_複数単位,1786
202110,米,36201,徳島市,購入頻度_100世帯当たり,36
202110,米,37201,高松市,支出金額_複数単位,2359
202110,米,37201,高松市,購入頻度_100世帯当たり,50
202110,米,38201,松山市,支出金額_複数単位,3214
202110,米,38201,松山市,購入頻度_100世帯当たり,64
202110,米,39201,高知市,支出金額_複数単位,1763
202110,米,39201,高知市,購入頻度_100世帯当たり,70
202111,米,36201,徳島市,支出金額_複数単位,1103
202111,米,36201,徳島市,購入頻度_100世帯当たり,38
202111,米,37201,高松市,支出金額_複数単位,2050
202111,米,37201,高松市,購入頻度_100世帯当たり,46
202111,米,38201,松山市,支出金額_複数単位,1285
202111,米,38201,松山市,購入頻度_100世帯当たり,57
202111,米,39201,高知市,支出金額_複数単位,1806
202111,米,39201,高知市,購入頻度_100世帯当たり,71
202112,米,36201,徳島市,支出金額_複数単位,785
202112,米,36201,徳島市,購入頻度_100世帯当たり,32
202112,米,37201,高松市,支出金額_複数単位,1608
202112,米,37201,高松市,購入頻度_100世帯当たり,61
202112,米,38201,松山市,支出金額_複数単位,1357
202112,米,38201,松山市,購入頻度_100世帯当たり,58
202112,米,39201,高知市,支出金額_複数単位,1557
202112,米,39201,高知市,購入頻度_100世帯当たり,73
